FUNCAO,M,N,SEED,REPETICAO,COLISOES,T_INS_MED,T_BUS_PRES_MED,NOS_BUS_PRES_MED,T_BUS_AUS_MED,NOS_BUS_AUS_MED,CHECKSUM
MULTIPLICACAO,100003,1000,269893,1,2,184.999000,120.892000,1.002000,168.598000,0.016000,49569851
MULTIPLICACAO,100003,1000,270893,2,10,136.784000,62.100000,1.006000,139.638000,0.018000,50373557
MULTIPLICACAO,100003,1000,271893,3,3,133.723000,65.992000,1.002000,142.708000,0.008000,49353852
MULTIPLICACAO,100003,1000,272893,4,1,133.047000,63.458000,1.000000,144.356000,0.012000,51001321
MULTIPLICACAO,100003,1000,273893,5,2,209.262000,125.042000,1.002000,158.554000,0.012000,49905157
MULTIPLICACAO,100003,10000,278893,1,511,131.799500,253.227600,1.055400,234.843600,0.097000,499672295
MULTIPLICACAO,100003,10000,279893,2,487,134.194300,258.380000,1.051200,227.035200,0.098600,497393156
MULTIPLICACAO,100003,10000,280893,3,469,182.605700,243.352800,1.045800,221.734000,0.105400,502655958
MULTIPLICACAO,100003,10000,281893,4,464,130.715900,250.981400,1.047000,239.693800,0.099000,497376542
MULTIPLICACAO,100003,10000,282893,5,473,132.549900,249.866200,1.049600,242.074200,0.104000,500069051
MULTIPLICACAO,100003,100000,368893,1,36862,135.785640,481.284900,1.500760,489.857460,1.001240,5005013616
MULTIPLICACAO,100003,100000,369893,2,36752,229.810520,360.440880,1.496840,334.536560,0.993480,4987618720
MULTIPLICACAO,100003,100000,370893,3,36677,409.135180,525.118880,1.503460,496.347300,0.994380,4986066828
MULTIPLICACAO,100003,100000,371893,4,36690,352.310940,458.297600,1.498200,372.540500,0.998200,5009028322
MULTIPLICACAO,100003,100000,372893,5,36654,402.031720,523.052280,1.500740,481.597140,0.999160,5016790558
DOBRAMENTO,1000,1000,170890,1,382,164.606000,163.434000,1.580000,111.590000,1.052000,494967
DOBRAMENTO,1000,1000,171890,2,363,96.024000,193.716000,1.482000,113.830000,0.978000,497086
DOBRAMENTO,1000,1000,172890,3,356,58.588000,90.968000,1.474000,80.730000,1.048000,491317
DOBRAMENTO,1000,1000,173890,4,381,67.114000,82.814000,1.542000,90.750000,1.000000,502836
DOBRAMENTO,1000,1000,174890,5,364,65.567000,69.706000,1.504000,66.242000,0.986000,485443
DOBRAMENTO,1000,10000,179890,1,9000,63.771400,148.679400,5.957000,231.017000,10.020400,4984815
DOBRAMENTO,1000,10000,180890,2,9000,70.717500,165.526600,5.928200,135.569000,10.052200,4989486
DOBRAMENTO,1000,10000,181890,3,9000,61.417600,161.790200,6.006800,232.197600,10.012600,5062175
DOBRAMENTO,1000,10000,182890,4,9000,61.312200,299.196600,5.963200,310.838800,10.023400,4956109
DOBRAMENTO,1000,10000,183890,5,9000,58.146900,256.319600,6.010600,839.456400,10.020000,5011781
DOBRAMENTO,1000,100000,269890,1,99000,69.665150,2268.197520,51.046940,722.169800,99.970320,49793735
DOBRAMENTO,1000,100000,270890,2,99000,69.899270,1890.607440,50.964840,567.431900,100.010380,49919176
DOBRAMENTO,1000,100000,271890,3,99000,53.734100,2081.090540,50.997300,798.461880,100.037040,50057258
DOBRAMENTO,1000,100000,272890,4,99000,77.067370,1384.402720,51.029820,449.347360,99.991660,50066525
DOBRAMENTO,1000,100000,273890,5,99000,53.004310,2079.127960,51.005300,458.970220,100.002300,49905197
DOBRAMENTO,10007,1000,179897,1,233,54.007000,73.652000,1.254000,78.772000,0.572000,1533403
DOBRAMENTO,10007,1000,180897,2,236,54.846000,73.800000,1.260000,74.236000,0.544000,1571409
DOBRAMENTO,10007,1000,181897,3,228,65.440000,68.616000,1.274000,72.158000,0.534000,1539668
DOBRAMENTO,10007,1000,182897,4,215,57.308000,68.026000,1.280000,70.402000,0.594000,1554926
DOBRAMENTO,10007,1000,183897,5,221,54.428000,74.260000,1.272000,68.998000,0.576000,1526310
DOBRAMENTO,10007,10000,188897,1,7864,64.586700,177.084000,3.786200,243.112400,5.713400,15517761
DOBRAMENTO,10007,10000,189897,2,7859,58.888100,265.712000,3.854400,253.137200,5.675600,15491048
